CATEGORY,BRAND NAME,SALT / COMPOSITION,DETAILS / USAGE,ORIGINAL NAME,Category,Usage
==== AYURVEDIC & HERBAL STARTS HERE ====,,,,,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,AVG Jamun Neem Karela Plus Powder,,Ayurvedic Medicine,AVG Jamun Neem Karela Plus Powder,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Amla Churna,,Ayurvedic,Amla Churna,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic & OTC Medicines,,IME-9 Tablets,Ayurvedic & OTC Medicines,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic & OTC Medicines,,AIMIL BGR-34 Tablets,Ayurvedic & OTC Medicines,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Churan/Herbal Mix,Assorted Jars,Ayurvedic Medicine,Ayurvedic Churan/Herbal Mix (Assorted Jars),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Ashvagandha Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Liv.52 DS Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Septilin Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Cystone Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Pilex Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Himalaya Gasex Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,IME-9 Tablets,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,BGR-34 Tablets (AIMIL),Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ayurvedic Medicine,,Kayam Tablet,Ayurvedic Medicine,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Baidyanath Anu Taila,,Ayurvedic/Oil,Baidyanath Anu Taila,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Baidyanath Triphala Juice,,Ayurvedic Medicine,Baidyanath Triphala Juice,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Baidyanath Triphala Juice,,General,Baidyanath Triphala Juice,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Boro Plus Ayurvedic Antiseptic Cream,,Skin Care,Boro Plus Ayurvedic Antiseptic Cream,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Boroline Antiseptic Ayurvedic Cream,,Cream/Ointment/Gel,Boroline Antiseptic Ayurvedic Cream,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Cream/Ointment/Gel,,Himalaya FootCare Cream,Cream/Ointment/Gel,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Chyawanprash,,General,Dabur Chyawanprash,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Gulabari Rose Water,,Skincare,Dabur Gulabari Rose Water,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Honitus Herbal Cough Remedy,,General,Dabur Honitus Herbal Cough Remedy,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Meswak Toothpaste,,Dental Care,Dabur Meswak Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Red Paste,,Dental Care,Dabur Red Paste,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Shilajit Gold,,Health & Supplements,Dabur Shilajit Gold,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dabur Sitopaladi Churna,,Ayurvedic Medicine,Dabur Sitopaladi Churna,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Divya Gashar Churna,Patanjali,Ayurvedic Medicine,Divya Gashar Churna (Patanjali),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Divya Lavan Bhaskar Churna,Patanjali,Ayurvedic Medicine,Divya Lavan Bhaskar Churna (Patanjali),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Divya Mukta Vati Extra Power,Patanjali,Ayurvedic Medicine,Divya Mukta Vati Extra Power (Patanjali),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Dr. Ortho Ayurvedic Joint Pain Oil,,Ayurvedic/Pain Relief,Dr. Ortho Ayurvedic Joint Pain Oil,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Hamdard Joshina,,General,Hamdard Joshina,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Hamdard Khamira Marwareed Khas,,Unani Medicine,Hamdard Khamira Marwareed Khas,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Hamdard Safi Natural Blood Purifier,,General,Hamdard Safi Natural Blood Purifier,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Hamdard Sualin,,Ayurvedic & OTC Medicines,Hamdard Sualin,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Hamdard Sualin,,Ayurvedic Medicine,Hamdard Sualin,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Himalaya AyurSlim Capsules,,Ayurvedic Medicine,Himalaya AyurSlim Capsules,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Himalaya Purifying Neem Face Wash,,Skincare,Himalaya Purifying Neem Face Wash,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Himani Navratna Ayurvedic Oil,Red,Hair Care,Himani Navratna Ayurvedic Oil (Red),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Himani Navratna Ayurvedic Oil,Green,Hair Care,Himani Navratna Ayurvedic Oil (Green),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Japani Oil,,Ayurvedic & OTC Medicines,Japani Oil,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Kayam Churna,,General,Kayam Churna,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Lodhrasav,,Ayurvedic,Lodhrasav,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Lookman-E-Hayat Tel,,Ayurvedic & OTC Medicines,Lookman-E-Hayat Tel,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,P-6 Fast Acting Formula Capsules,Piles,Ayurvedic & OTC Medicines,P-6 Fast Acting Formula Capsules (Piles),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Patanjali Aloe Vera Juice,,General,Patanjali Aloe Vera Juice,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Patanjali Aloevera Juice,,General,Patanjali Aloevera Juice,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Patanjali Aloevera Juice with Fiber,,Health & Supplements,Patanjali Aloevera Juice with Fiber,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Patanjali Balm,,Pain Relief & Balms,Patanjali Balm,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Patanjali Dant Kanti,Regular/Advanced/Fresh Active Gel,Dental Care,Patanjali Dant Kanti (Regular/Advanced/Fresh Active Gel),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Patanjali Rose Water,Jal,Ayurvedic Medicine,Patanjali Rose Water (Jal),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Patanjali Saundarya Face Wash,,Skincare & Cosmetics,Patanjali Saundarya Face Wash,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ridemax Capsules,,Ayurvedic & OTC Medicines,Ridemax Capsules,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Ringcutter Ointment,,Ayurvedic & OTC Medicines,Ringcutter Ointment,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Shilajit,Packets/Box,Ayurvedic Medicine,Shilajit (Packets/Box),General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Swadeshi Karela Jamun Ras,,Ayurvedic Medicine,Swadeshi Karela Jamun Ras,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Zalim Lotion,,Ayurvedic & OTC Medicines,Zalim Lotion,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Zandu Fast Relief,,Pain Relief Gel/Ointment,Zandu Fast Relief,General Medicine,Used as directed by a registered medical practitioner.
AYURVEDIC & HERBAL,Zandu Rhumasyl Liniment,,Ayurvedic/Pain Relief,Zandu Rhumasyl Liniment,General Medicine,Used as directed by a registered medical practitioner.
==== BABY CARE STARTS HERE ====,,,,,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Baby Care,,Johnson's Baby Skincare Wipes,Baby Care,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Baby Care,,Bonne Polycare Smooth-neck feeder,Baby Care,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Baby Feeding Bottles,,Baby Care,Baby Feeding Bottles,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Baby Water Teether,Apple Shape,Baby Care,Baby Water Teether (Apple Shape),General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,BabyMe Steel Feeder,,Baby Care,BabyMe Steel Feeder,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Bonne Acer Steel Feeder,,Baby Care,Bonne Acer Steel Feeder,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Bonne Goglass Glass Sipper,,Baby Care,Bonne Goglass Glass Sipper,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Bonne Polykid Smooth-neck feeder,,Baby Care,Bonne Polykid Smooth-neck feeder,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Cerelac,,General,Cerelac,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Chicco Baby Products,,General,Chicco Baby Products,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Chicco Well-Being Feeding Bottle,2m+,Baby Care,Chicco Well-Being Feeding Bottle (2m+),General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Dabur Janma Ghunti,,Ayurvedic/Baby Care,Dabur Janma Ghunti,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Dabur Lal Tail,,Baby Care,Dabur Lal Tail,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Dabur Lal Tail,,Ayurvedic/Baby Care,Dabur Lal Tail,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Friends Adult Diapers,,Personal Care,Friends Adult Diapers,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Friends Adult Diapers,"Sizes M, L, XL",Personal Care,"Friends Adult Diapers (Sizes M, L, XL)",General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Himalaya Baby Cream,,Baby Care,Himalaya Baby Cream,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Himalaya Baby Powder,,General,Himalaya Baby Powder,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Himalaya Gentle Baby Powder,,Baby Care,Himalaya Gentle Baby Powder,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Himalaya Gentle Baby Shampoo,,Baby Care,Himalaya Gentle Baby Shampoo,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Himalaya Gentle Baby Soap,,Baby Care,Himalaya Gentle Baby Soap,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Himalaya Gentle Baby Wash,,Baby Care,Himalaya Gentle Baby Wash,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Himalaya Happy Baby Gift Pack,,Baby Care,Himalaya Happy Baby Gift Pack,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Johnson's Baby Gift Set,,Baby Care,Johnson's Baby Gift Set,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Lactogen,,General,Lactogen,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,MamyPoko Pants,,General,MamyPoko Pants,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,MamyPoko Pants Diapers,,Baby Care,MamyPoko Pants Diapers,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,MamyPoko Pants Extra Absorb,"Sizes S, L, XL, XXL",Baby Care,"MamyPoko Pants Extra Absorb (Sizes S, L, XL, XXL)",General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Nestle Cerelac Wheat Apple,,Baby Food,Nestle Cerelac Wheat Apple,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Nestle Cerelac Wheat-Rice Mixed Fruit,,Baby Food,Nestle Cerelac Wheat-Rice Mixed Fruit,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Nestle Lactogen Pro 1 Infant Formula,,Baby Food,Nestle Lactogen Pro 1 Infant Formula,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Nestle Lactogen Pro 2 Follow-Up Formula,,Baby Food,Nestle Lactogen Pro 2 Follow-Up Formula,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Rashoff Diaper Rash Cream,,Cream/Ointment/Gel,Rashoff Diaper Rash Cream,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Tender Flo Baby Water Teether,,Baby Care,Tender Flo Baby Water Teether,General Medicine,Used as directed by a registered medical practitioner.
BABY CARE,Vicks BabyRub,,Baby Care,Vicks BabyRub,General Medicine,Used as directed by a registered medical practitioner.
==== FMCG & PERSONAL CARE STARTS HERE ====,,,,,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,ANOVATE Cream,,Cream/Ointment/Gel,ANOVATE Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Abzorb Dusting Powder,,Dusting Powder,Abzorb Dusting Powder,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Acivir Cream,,Cream/Ointment/Gel,Acivir Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Acne Star Gel,,Cream/Ointment/Gel,Acne Star Gel,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,AcneStar Soap,,General,AcneStar Soap,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Alite Spots Reduction Cream,,Skincare & Cosmetics,Alite Spots Reduction Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Amar Lotion,,Skincare,Amar Lotion,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Austro Relief Hot Gel,,Pain Relief Gel/Ointment,Austro Relief Hot Gel,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Axe Dark Temptation Aftershave Lotion,,Deodorants & Perfumes,Axe Dark Temptation Aftershave Lotion,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Axe Deodorant,,General,Axe Deodorant,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Axe Signature Cologne Talc,,Deodorants & Perfumes,Axe Signature Cologne Talc,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,BETNOVATE Skin Cream,,General,BETNOVATE Skin Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Beer Shampoo,,General,Beer Shampoo,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Benzac AC 5% Gel,,Cream/Ointment/Gel,Benzac AC 5% Gel,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Betnovate-C Cream,,Cream/Ointment/Gel,Betnovate-C Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Biotique Sun Shield Sandalwood Sunscreen SPF 50+,,Skin Care,Biotique Sun Shield Sandalwood Sunscreen SPF 50+,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Burn Heal Cream,,Cream/Ointment/Gel,Burn Heal Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Calsmooth Lotion,,Lotion/Wash,Calsmooth Lotion,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Candid Lotion,,Lotion/Wash,Candid Lotion,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Candid Mouth Paint,,Gel/Mouth Paint,Candid Mouth Paint,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Castor-NF Skin Cream,,Cream/Ointment/Gel,Castor-NF Skin Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Cetaphil Moisturising Lotion,,Skincare & Cosmetics,Cetaphil Moisturising Lotion,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Cheerio Gel Toothpaste,,Dental Care,Cheerio Gel Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Cipladine Ointment,,Cream/Ointment/Gel,Cipladine Ointment,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,ClearGel,,Cream/Ointment/Gel,ClearGel,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Clinic Plus Shampoo,,Hair Care,Clinic Plus Shampoo,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Clocip Antifungal Cream,,Cream/Ointment/Gel,Clocip Antifungal Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Clocip Dusting Powder,,Dusting Powder,Clocip Dusting Powder,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Clop-G Cream,,Cream/Ointment/Gel,Clop-G Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Clop-GM Neo Cream,,Cream/Ointment/Gel,Clop-GM Neo Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Closeup Everfresh+ Toothpaste,,Oral Care,Closeup Everfresh+ Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Clotilix-M Cream,,Cream/Ointment/Gel,Clotilix-M Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Colgate ZigZag Toothbrush,,Dental Care,Colgate ZigZag Toothbrush,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Cosmelite Cream,,General,Cosmelite Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Cosvate-GM Cream,,Cream/Ointment/Gel,Cosvate-GM Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Cream/Ointment/Gel,,Zitcare-S Gel,Cream/Ointment/Gel,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,D.F.O. Gel,,Pain Relief Gel/Ointment,D.F.O. Gel,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,DOLOGEL,,Gel/Mouth Paint,DOLOGEL,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Denta Age Sensitive Toothpaste,,Dental Care,Denta Age Sensitive Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dentosys Toothpaste,,Dental Care,Dentosys Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Denver Deo/Body Wash,,Deodorants & Fragrances,Denver Deo/Body Wash,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Denver Pocket Perfume & Body Spray,"Black Code, Imperial, Hamilton",Deodorants & Perfumes,"Denver Pocket Perfume & Body Spray (Black Code, Imperial, Hamilton)",General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Derbeau-12% Cream,,Cream/Ointment/Gel,Derbeau-12% Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dermadew Soap,,General,Dermadew Soap,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dermiford Cream,,Cream/Ointment/Gel,Dermiford Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dermina Desi Ghee 1% Moisturizer,,Skincare & Cosmetics,Dermina Desi Ghee 1% Moisturizer,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dermina Face Wash,,Skincare & Cosmetics,Dermina Face Wash,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dexoderm NF Cream,,Cream/Ointment/Gel,Dexoderm NF Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dove,,General,Dove,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dove Daily Shine Shampoo,,Hair Care,Dove Daily Shine Shampoo,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dove Men+Care Deodorant,,Deodorants & Perfumes,Dove Men+Care Deodorant,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dove Shampoo,,Hair Care,Dove Shampoo,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Dusting Powder,,Mycoderm Powder (Salicylic Acid & Benzoic Acid),Dusting Powder,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,ETAZE-AF Cream,,Cream/Ointment/Gel,ETAZE-AF Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Electral Powder  30x21.80g,ORS,Health & Supplements,Electral Powder (ORS) 30x21.80g,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Elosone Cream,,Cream/Ointment/Gel,Elosone Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Elosone-S Ointment,,Cream/Ointment/Gel,Elosone-S Ointment,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Emoform-R Toothpaste,,Dental Care,Emoform-R Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Engage Pocket Perfume,,Deodorants & Perfumes,Engage Pocket Perfume,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Enshine Kids Toothpaste,,Dental Care,Enshine Kids Toothpaste,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Enshine Toothbrush,,General,Enshine Toothbrush,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Enshine Toothbrushes,,Dental Care,Enshine Toothbrushes,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Envy Natural Spray,Perfume/Deo,Deodorants & Fragrances,Envy Natural Spray (Perfume/Deo),General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Envy Perfume,,General,Envy Perfume,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Envy Perfume Blush,,General,Envy Perfume Blush,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Envy Perfume Passion,,General,Envy Perfume Passion,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Envy Pocket Perfume,,Deodorants & Perfumes,Envy Pocket Perfume,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Epic Body Spray,,General,Epic Body Spray,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Epic Deodorant,,General,Epic Deodorant,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Everyuth Naturals Face Wash,,Skincare,Everyuth Naturals Face Wash,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Face Mask,Pink Packet,Accessories,Face Mask (Pink Packet),General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Face Scrub,De-Tans,General,Face Scrub (De-Tans),General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Fem Gold Creme Bleach,,Personal Care & Hygiene,Fem Gold Creme Bleach,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Fem Saffron & Milk Creme Bleach,,Personal Care & Hygiene,Fem Saffron & Milk Creme Bleach,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Fogg Body Spray,"Paradise, Napoleon",Deodorants & Perfumes,"Fogg Body Spray (Paradise, Napoleon)",General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Fogg Body Spray,,General,Fogg Body Spray,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,FourDerm Cream,,Cream/Ointment/Gel,FourDerm Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Fucidin Cream,,Cream/Ointment/Gel,Fucidin Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Fucidin Ointment,,Cream/Ointment/Gel,Fucidin Ointment,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Fusilix B Cream,,Cream/Ointment/Gel,Fusilix B Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Bright Complete Vitamin C Serum,,Skincare & Cosmetics,Garnier Bright Complete Vitamin C Serum,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Color Naturals,,General,Garnier Color Naturals,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Color Naturals Creme Riche,Burgundy,Hair Care,Garnier Color Naturals Creme Riche (Burgundy),General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Color Naturals Creme Riche,Natural Black,Hair Care,Garnier Color Naturals Creme Riche (Natural Black),General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Face Wash,,General,Garnier Face Wash,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Men,,General,Garnier Men,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Men Face Wash,TurboLight/AcnoFight,Skincare,Garnier Men Face Wash (TurboLight/AcnoFight),General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Garnier Wrinkle Lift Anti-Ageing Cream,,Skincare & Cosmetics,Garnier Wrinkle Lift Anti-Ageing Cream,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Gillette Guard,,General,Gillette Guard,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Gillette Guard Razor,,Personal Care,Gillette Guard Razor,General Medicine,Used as directed by a registered medical practitioner.
FMCG & PERSONAL CARE,Gillette Guard Razors,,Personal Care & Hygiene,Gillette Guard Razors,General Medicine,Used as directed by a registered medical practitioner.
